Rank,Name,Genre,Publisher
1,Wii Sports,Sports,Nintendo
2,Super Mario Bros.,Platform,Nintendo
3,Mario Kart Wii,Racing,Nintendo
4,Wii Sports Resort,Sports,Nintendo
5,Pokemon Red/Pokemon Blue,Role-Playing,Nintendo
6,Tetris,Puzzle,Nintendo
7,New Super Mario Bros.,Platform,Nintendo
8,Wii Play,Misc,Nintendo
9,New Super Mario Bros. Wii,Platform,Nintendo
10,Duck Hunt,Shooter,Nintendo
11,Nintendogs,Simulation,Nintendo
12,Mario Kart DS,Racing,Nintendo
13,Pokemon Gold/Pokemon Silver,Role-Playing,Nintendo
14,Wii Fit,Sports,Nintendo
15,Wii Fit Plus,Sports,Nintendo
16,Kinect Adventures!,Misc,Microsoft Game Studios
17,Grand Theft Auto V,Action,Take-Two Interactive
18,Grand Theft Auto: San Andreas,Action,Take-Two Interactive
19,Super Mario World,Platform,Nintendo
20,Brain Age: Train Your Brain in Minutes a Day,Misc,Nintendo
21,Pokemon Diamond/Pokemon Pearl,Role-Playing,Nintendo
22,Super Mario Land,Platform,Nintendo
23,Super Mario Bros. 3,Platform,Nintendo
24,Grand Theft Auto V,Action,Take-Two Interactive
25,Grand Theft Auto: Vice City,Action,Take-Two Interactive
26,Pokemon Ruby/Pokemon Sapphire,Role-Playing,Nintendo
27,Pokemon Black/Pokemon White,Role-Playing,Nintendo
28,Brain Age 2: More Training in Minutes a Day,Puzzle,Nintendo
29,Gran Turismo 3: A-Spec,Racing,Sony Computer Entertainment
30,Call of Duty: Modern Warfare 3,Shooter,Activision
31,Pokémon Yellow: Special Pikachu Edition,Role-Playing,Nintendo
32,Call of Duty: Black Ops,Shooter,Activision
33,Pokemon X/Pokemon Y,Role-Playing,Nintendo
34,Call of Duty: Black Ops 3,Shooter,Activision
35,Call of Duty: Black Ops II,Shooter,Activision
36,Call of Duty: Black Ops II,Shooter,Activision
37,Call of Duty: Modern Warfare 2,Shooter,Activision
38,Call of Duty: Modern Warfare 3,Shooter,Activision
39,Grand Theft Auto III,Action,Take-Two Interactive
40,Super Smash Bros. Brawl,Fighting,Nintendo
41,Call of Duty: Black Ops,Shooter,Activision
42,Animal Crossing: Wild World,Simulation,Nintendo
43,Mario Kart 7,Racing,Nintendo
44,Halo 3,Shooter,Microsoft Game Studios
45,Grand Theft Auto V,Action,Take-Two Interactive
46,Pokemon HeartGold/Pokemon SoulSilver,Action,Nintendo
47,Super Mario 64,Platform,Nintendo
48,Gran Turismo 4,Racing,Sony Computer Entertainment
49,Super Mario Galaxy,Platform,Nintendo
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,Nintendo
51,Super Mario Land 2: 6 Golden Coins,Adventure,Nintendo
52,Grand Theft Auto IV,Action,Take-Two Interactive
53,Gran Turismo,Racing,Sony Computer Entertainment
54,Super Mario 3D Land,Platform,Nintendo
55,Gran Turismo 5,Racing,Sony Computer Entertainment
56,Call of Duty: Modern Warfare 2,Shooter,Activision
57,Grand Theft Auto IV,Action,Take-Two Interactive
58,Super Mario All-Stars,Platform,Nintendo
59,Pokemon FireRed/Pokemon LeafGreen,Role-Playing,Nintendo
60,Super Mario 64,Platform,Nintendo
61,Just Dance 3,Misc,Ubisoft
62,Call of Duty: Ghosts,Shooter,Activision
63,Halo: Reach,Shooter,Microsoft Game Studios
64,Mario Kart 64,Racing,Nintendo
65,New Super Mario Bros. 2,Platform,Nintendo
66,Halo 4,Shooter,Microsoft Game Studios
67,Final Fantasy VII,Role-Playing,Sony Computer Entertainment
68,Call of Duty: Ghosts,Shooter,Activision
69,Just Dance 2,Misc,Ubisoft
70,Gran Turismo 2,Racing,Sony Computer Entertainment
71,Call of Duty 4: Modern Warfare,Shooter,Activision
72,Donkey Kong Country,Platform,Nintendo
73,Minecraft,Misc,Microsoft Game Studios
74,Animal Crossing: New Leaf,Simulation,Nintendo
75,Mario Party DS,Misc,Nintendo
76,The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks
77,Super Mario Kart,Racing,Nintendo
78,FIFA 16,Sports,Electronic Arts
79,Wii Party,Misc,Nintendo
80,Halo 2,Shooter,Microsoft Game Studios
81,Mario Party 8,Misc,Nintendo
82,Pokemon Black 2/Pokemon White 2,Role-Playing,Nintendo
83,FIFA Soccer 13,Action,Electronic Arts
